OrderID	CustomerID	OrderDate	ShippedDate	CustomerName	Department	Region	OrderType	ProductCategory	SKU	Priority	Status	ShipMethod	Units	UnitCost	UnitPrice	DiscountRate	OrderTotal	AssignedRep
ORD-100000	CUST-10196	26.06.2025		Bright Enterprises	Sales	West	Services	Software	SKU-J4450	Low	New	2-Day	2	 $19.04 	 $25.70 	0%	 $51.40 	Casey Brown
ORD-100001	CUST-10195	24.01.2026		Redwood Partners	HR	West	Hardware	Cleaning	SKU-L4432	Low	Approved	2-Day	5	 $33.06 	 $47.94 	0%	 $239.70 	Taylor Brown
ORD-100002	CUST-10188	29.08.2025	01.09.2025	Summit Holdings	Marketing	West	Office Supplies	Services	SKU-V4501	Medium	Fulfilled	Overnight	5	 $51.72 	 $67.24 	10%	 $302.58 	Sawyer Patel
ORD-100003	CUST-10126	30.07.2025		Riverbend Foundation	Sales	Central	Office Supplies	Ergonomics	SKU-U9856	Medium	New	2-Day	2	 $13.71 	 $17.82 	10%	 $32.08 	Taylor Brown
ORD-100004	CUST-10122	21.01.2024	27.01.2024	Riverbend Systems	Finance	East	Office Supplies	Tech Accessories	SKU-Z6039	Medium	Fulfilled	Overnight	5	 $28.96 	 $40.54 	15%	 $172.30 	Finley White
ORD-100005	CUST-10037	01.03.2024		Harbor Consulting	Sales	East	Software	Hardware	SKU-F8573	High	New	Overnight	2	 $19.01 	 $27.56 	0%	 $55.12 	Avery Thomas
ORD-100006	CUST-10150	22.12.2025		Canyon Foundation	Finance	East	Office Supplies	Paper & Printing	SKU-M2291	Medium	Cancelled	Pickup	3	 $58.47 	 $84.78 	15%	 $216.19 	Jamie Johnson
ORD-100007	CUST-10044	26.10.2025	05.11.2025	Pioneer Logistics	Marketing	Central	Services	Cleaning	SKU-Z5232	Medium	Delayed	Overnight	10	 $10.97 	 $15.91 	0%	 $159.10 	Sawyer Allen
ORD-100008	CUST-10078	28.06.2024	01.07.2024	Redwood Associates	Marketing	East	Hardware	Hardware	SKU-I7484	High	Fulfilled	Pickup	10	 $26.96 	 $37.74 	10%	 $339.66 	Sawyer Lee
ORD-100009	CUST-10156	08.09.2025	12.09.2025	Crescent Group	HR	West	Hardware	Paper & Printing	SKU-E5333	High	Fulfilled	Overnight	10	 $16.51 	 $23.94 	15%	 $203.49 	Morgan Brown
ORD-100010	CUST-10042	21.12.2024	26.12.2024	Harbor Partners	Marketing	West	Software	Paper & Printing	SKU-A8508	High	Fulfilled	Overnight	3	 $23.02 	 $28.77 	5%	 $81.99 	Sawyer Garcia
ORD-100011	CUST-10177	02.08.2024	09.08.2024	Summit Foundation	Finance	West	Office Supplies	Services	SKU-D5061	Low	Fulfilled	Ground	5	 $26.08 	 $35.21 	5%	 $167.25 	Emerson Martinez
ORD-100012	CUST-10126	19.06.2024	21.06.2024	Riverbend Foundation	Operations	Central	Office Supplies	Software	SKU-E6718	Medium	Fulfilled	2-Day	1	 $20.79 	 $28.07 	0%	 $28.07 	Emerson Martinez
ORD-100013	CUST-10005	04.02.2024		Northstar Associates	IT	West	Office Supplies	Breakroom	SKU-A7396	High	Approved	Pickup	1	 $12.54 	 $16.93 	0%	 $16.93 	Morgan Brown
ORD-100014	CUST-10086	14.07.2025	24.07.2025	Evergreen Enterprises	Sales	East	Services	Hardware	SKU-F8573	Low	Fulfilled	Pickup	3	 $19.01 	 $27.56 	15%	 $70.28 	Finley White
ORD-100015	CUST-10013	20.03.2025		Cobalt Consulting	Finance	East	Office Supplies	Breakroom	SKU-G2545	Low	Approved	Overnight	10	 $20.90 	 $28.21 	15%	 $239.79 	Reese Lee
ORD-100016	CUST-10024	31.10.2024	07.11.2024	Redwood Systems	Finance	West	Office Supplies	Paper & Printing	SKU-H4139	Medium	Fulfilled	Ground	1	 $67.95 	 $88.34 	0%	 $88.34 	Sawyer Garcia
ORD-100017	CUST-10169	30.03.2024		Northstar Consulting	Marketing		Hardware	Tech Accessories	SKU-X8777	High	New	2-Day	3	 $24.05 	 $31.27 	15%	 $79.74 	Reese Lee
ORD-100018	CUST-10029	24.03.2024	02.04.2024	Riverbend Industries	IT	East	Software	Tech Accessories	SKU-H3662	Medium	Delayed	Overnight	3	 $16.91 	 $21.14 	0%	 $63.42 	Cameron Garcia
ORD-100019	CUST-10094	31.01.2025		Pioneer Services	Operations	West	Office Supplies	Paper & Printing	SKU-L6635	Medium	Approved	Pickup	2	 $21.57 	 $26.96 	0%	 $53.92 	Taylor Brown
ORD-100020	CUST-10015	02.10.2024		Pioneer Systems	HR	Central	Software	Hardware	SKU-D7227	Medium	New	Overnight	3	 $18.95 	 $25.58 	10%	 $69.07 	Jamie Young
ORD-100021	CUST-10141	26.08.2025		Crescent Associates	Finance	West	Software	Hardware	SKU-S2290	Low	Approved	Pickup	10	 $25.46 	 $31.83 	10%	 $286.47 	Taylor Brown
ORD-100022	CUST-10020	02.05.2025	05.05.2025	Crescent Foundation	Operations	East	Services	Hardware	SKU-W2139	Medium	Fulfilled	2-Day	2	 $37.42 	 $50.52 	0%	 $101.04 	Emerson Martinez
ORD-100023	CUST-10049	20.06.2024	30.06.2024	 Crescent Logistics  	HR	West	Office Supplies	Paper & Printing	SKU-Z1672	High	Fulfilled	2-Day	10	 $32.53 	 $43.92 	15%	 $373.32 	Taylor Smith
ORD-100024	CUST-10186	21.09.2024		 Canyon Logistics  	Procurement	West	Office Supplies	Services	SKU-E4111	Medium	Approved	Overnight	5	 $27.52 	 $34.40 	0%	 $172.00 	Jordan Lee
ORD-100025	CUST-10179	14.04.2025		Riverbend Enterprises	Sales	East	Hardware	Ergonomics	SKU-U9856	Low	New	2-Day	1	 $13.71 	 $17.82 	0%	 $17.82 	Sawyer Patel
ORD-100026	CUST-10194	25.08.2025		Summit Enterprises	Finance		Services	Cleaning	SKU-I2137	Medium	New	Overnight	3	 $15.46 	 $22.42 	10%	 $60.53 	Avery Thomas
ORD-100027	CUST-10098	24.02.2025		Apex Systems	Marketing	East	Hardware	Services	SKU-W5982	Medium	New	Overnight	5	 $24.07 	 $34.90 	5%	 $165.78 	Taylor Smith
ORD-100028	CUST-10174	25.09.2025	30.09.2025	 Silverline Foundation  	Marketing	West	Office Supplies	Software	SKU-N8956	Medium	Fulfilled	2-Day	10	 $8.22 	 $11.10 	0%	 $111.00 	Jamie Johnson
ORD-100029	CUST-10086	16.01.2025	21.01.2025	Evergreen Enterprises	Procurement	East	Software	Paper & Printing	SKU-N9565	Medium	Fulfilled	Ground	20	 $36.82 	 $47.87 	0%	 $957.40 	Taylor Smith
ORD-100030	CUST-10198	31.01.2026	04.02.2026	Pioneer Foundation	Procurement	West	Office Supplies	Ergonomics	SKU-D8119	Medium	Fulfilled	Ground	3	 $29.44 	 $41.22 	0%	 $123.66 	Emerson Martinez
ORD-100031	CUST-10194	20.02.2025	01.03.2025	Summit Enterprises	Sales		Software	Software	SKU-H7625	Low	Fulfilled	2-Day	2	 $24.60 	 $35.67 	0%	 $71.34 	Reese Lee
ORD-100032	CUST-10199	17.02.2025		Vertex Associates	Procurement	East	Hardware	Cleaning	SKU-A2889	Medium	New	2-Day	12	 $20.70 	 $30.01 	0%	 $360.12 	Taylor Brown
ORD-100033	CUST-10012	03.02.2024	04.02.2024	Silverline Holdings	IT	Central	Software	Services	SKU-C1878	Medium	Fulfilled	Pickup	1	 $27.00 	 $39.15 	15%	 $33.28 	Jamie Anderson
ORD-100034	CUST-10125	04.09.2024	09.09.2024	Redwood Partners	Sales	Central	Office Supplies	Tech Accessories	SKU-L3646	Low	Fulfilled	Overnight	5	 $54.93 	 $79.65 	0%	 $398.25 	Finley White
ORD-100035	CUST-10072	06.12.2025	10.12.2025	Silverline Foundation	Finance	East	Office Supplies	Paper & Printing	SKU-X5920	High	Fulfilled	2-Day	5	 $22.15 	 $31.01 	0%	 $155.05 	Cameron Garcia
