OrderID,OrderDate,CustomerID,CustomerName,Department,Region,OrderType,ProductCategory,SKU,Priority,Status,ShipMethod,SLADueDate,ShippedDate,Units,UnitCost,UnitPrice,DiscountRate,OrderTotal,AssignedRep
ORD-100036,2025-11-24,CUST-10068,Vertex  Enterprises,Marketing,W,Office Supplies,Services,SKU-V4501,High,Fulfilled,Ground,2025-11-27,2025-11-27,3,51.72,67.24,0.05,191.63,Taylor Smith
ORD-100058,2025-11-09,CUST-10069,Silverline  Associates,Sales,W,Hardware,Tech Accessories,SKU-O9900,High,Fulfilled,Ground,2025-11-12,2025-11-11,12,10.88,15.78,0.1,170.42,Skyler Clark
ORD-100074,2025-11-01,CUST-10087,Cobalt Holdings,IT,West,Software,Hardware,SKU-G8933,Low,Fulfilled,Overnight,2025-11-15,2025-11-11,1,20.32,25.4,0.1,22.86,Skyler Clark
ORD-100086,2025-11-30,CUST-10037,Harbor  Consulting,Procurement,E,Office Supplies,Software,SKU-M6363,Low,Approved,Ground,2025-12-14,,5,55.3,74.66,0.0,373.3,Emerson Martinez
ORD-100102,2025-11-20,CUST-10136,Vertex  Systems,Finance,C,Hardware,Cleaning,SKU-Y8251,Medium,Fulfilled,Ground,2025-11-27,2025-11-26,3,57.16,82.88,0.15,211.34,Morgan Brown
ORD-100104,2025-11-07,CUST-10121,Bright Enterprises,HR,West,Hardware,Software,SKU-B2512,High,Approved,Overnight,2025-11-10,,10,43.88,54.85,0.15,466.22,Taylor Smith
ORD-100135,2025-11-27,CUST-10193,Northstar  Holdings,HR,E,Office Supplies,Breakroom,SKU-G2545,Low,Fulfilled,Overnight,2025-12-11,2025-12-05,3,20.9,28.21,0.1,76.17,Casey Brown
ORD-100148,2025-11-20,CUST-10019,Crescent Holdings,Sales,,Services,Cleaning,SKU-I2137,Medium,Approved,Overnight,2025-11-27,,3,15.46,22.42,0.0,67.26,Sawyer Allen
ORD-100162,2025-11-20,CUST-10124,Northstar Logistics,Procurement,East,Software,Services,SKU-C1653,Low,Approved,Overnight,2025-12-04,,20,12.9,18.7,0.05,355.3,Cameron Garcia
ORD-100218,2025-11-01,CUST-10017,Vertex Group,Operations,East,Hardware,Paper & Printing,SKU-B6413,Medium,Delayed,Overnight,2025-11-08,2025-11-06,1,30.16,40.72,0.0,40.72,Sawyer Garcia
ORD-100280,2025-11-26,CUST-10111,Apex Holdings,Marketing,East,Services,Tech Accessories,SKU-L3646,Medium,New,Ground,2025-12-03,,5,54.93,79.65,0.1,358.43,Jordan Lee
